sample_name,cell_type,donor,pass_qc,read_type,peaks,frip,regulatory_fraction,tss_max,mitochondrial_fraction,macs2_d,macs2_treatment_redundant_rate,macs2_peak_count,samblaster_pct_dups,samtools_flagstat_total,samtools_mapped_passed,samtools_mapped_passed_pct,bowtie_2_hisat2_overall_alignment_rate,fastp_pct_duplication,fastp_after_filtering_q30_rate,fastp_after_filtering_q30_bases,fastp_filtering_result_passed_filter_reads,fastp_after_filtering_gc_content,fastp_pct_surviving,fastp_pct_adapter
CMP_4983,CMP,D4983,1,paired,73699,0.444509,0.483247,4.91872,0.0454861,220.0,0.0,73699,11.1,34566942,27858505,80.59,80.59,8.68769,0.931261,2175743426.0,34566942.0,0.499824,96.83246082098331,35.73126881074625
LMPP_6792,LMPP,D6792,1,paired,51343,0.390829,0.481693,4.8211,0.0364881,185.0,0.0,51343,17.32,19510684,13102570,67.16,67.16,13.4821,0.858973,1094577010.0,19510684.0,0.499933,95.49336082558187,44.47523955218855
CMP_6792,CMP,D6792,1,paired,79222,0.45595,0.48371,5.03228,0.0380928,203.0,0.0,79222,12.89,41880078,38799237,92.64,92.64,5.84184,0.855407,2555629898.0,41880078.0,0.493589,95.19773769862488,22.750934904599223
MEP_6792,MEP,D6792,1,paired,57271,0.161788,0.248591,2.52791,0.0359174,170.0,0.0,57271,9.95,58497738,56300772,96.24,96.24,4.4717,0.860229,3547593197.0,58497738.0,0.458346,95.77415325989512,26.686369727150662
HSC_4983,HSC,D4983,1,paired,47650,0.50693,0.575441,5.81258,0.0360515,229.0,0.0,47650,10.88,12782466,11353701,88.82,88.82,8.81921,0.927402,831492719.0,12782466.0,0.510586,96.22940820695057,26.83881280938223
CD4Tcell_1022,CD4Tcell,D1022,1,paired,34195,0.490973,0.568367,7.08938,0.120143,191.0,0.0,34195,25.09,59515258,29497494,49.56,49.56,16.329,0.801217,2987102516.0,59515258.0,0.501848,88.60904838954664,49.84556499156316
MEP_4983,MEP,D4983,1,paired,73400,0.41136,0.44205,4.1638,0.0260387,231.0,0.0,73400,8.21,34282936,28925168,84.37,84.37,6.48029,0.930245,2207576529.0,34282936.0,0.497292,96.75036907612775,30.02187928890844
HSC_6792,HSC,D6792,1,paired,72759,0.57477,0.580337,5.90149,0.0102129,206.0,0.0,72759,9.52,29487094,27487865,93.22,93.22,4.8594800000000005,0.857746,1814151973.0,29487094.0,0.510663,95.115908656762,21.175858809694663
CD8Tcell_1022,CD8Tcell,D1022,1,paired,30588,0.275851,0.369881,5.67404,0.143507,166.0,0.0,30588,21.08,27667256,18507164,66.89,66.89,8.10094,0.80317,1476644682.0,27667256.0,0.475302,90.02049690516124,41.16117655281074
GMP_6792,GMP,D6792,1,paired,79258,0.316657,0.377963,3.73831,0.0772679,187.0,0.0,79258,17.85,54930368,51729923,94.17,94.17,7.4142,0.858924,3328145399.0,54930368.0,0.476887,95.67334354027945,26.55623938595577
CD4Tcell_2596,CD4Tcell,D2596,1,paired,42544,0.381015,0.453815,7.22619,0.11891,159.0,0.0,42544,51.22,114591880,87730806,76.56,76.56,22.5355,0.743077,5577453665.0,114591880.0,0.483356,89.66695552009799,41.12801073049912
Mono_6792,Mono,D6792,1,paired,27694,0.112128,0.233031,4.11784,0.0970849,147.0,0.0,27694,37.56,64068250,49099732,76.64,76.64,25.1126,0.858272,3602909867.0,64068250.0,0.463238,95.3426485461776,44.06887347001897
CD8Tcell_2596,CD8Tcell,D2596,1,paired,36008,0.329278,0.407623,6.78499,0.1248,182.0,0.0,36008,60.06,114316720,99021070,86.62,86.62,35.6929,0.793853,6148977482.0,114316720.0,0.477792,92.84580609422206,34.41587810847654
CLP_2596,CLP,D2596,1,paired,47263,0.123492,0.219573,2.6097,0.0244893,127.0,0.0,47263,15.97,84046434,74894346,89.11,89.11,2.97155,0.614133,3491583939.0,84046434.0,0.454843,82.99652792178937,33.19652693428134
MPP_4983,MPP,D4983,1,paired,47137,0.432185,0.53337,5.17098,0.018772,223.0,0.0,47137,7.58,12938346,8946187,69.14,69.14,8.25587,0.928798,801137599.0,12938346.0,0.508767,96.31197097944376,39.78984929641587
CMP_2596,CMP,D2596,1,paired,81162,0.391305,0.436032,5.10095,0.135817,138.0,0.0,81162,28.14,41663780,31484012,75.57,75.57,3.60482,0.61506,1731254111.0,41663780.0,0.472295,42.82045204551679,33.501599906909426
Ery_2596,Ery,D2596,1,paired,20260,0.0777967,0.198139,2.99566,0.00645776,125.0,0.0,20260,35.79,187243768,128201779,68.47,68.47,8.30965,0.61662,7407729646.0,187243768.0,0.46599,81.80628844220728,41.732179046122745
GMP_2596,GMP,D2596,1,paired,34422,0.112471,0.250537,2.77938,0.059812,126.0,0.0,34422,12.58,30139154,24492184,81.26,81.26,1.63723,0.631755,1280598046.0,30139154.0,0.45303,78.57153769128236,33.088821438170626
LMPP_4983,LMPP,D4983,1,paired,44196,0.391683,0.502957,4.971,0.0412654,217.0,0.0,44196,11.57,15016638,9550475,63.6,63.6,13.313,0.930902,899852217.0,15016638.0,0.509554,96.50024124035328,46.50368569505112
HSC_2596,HSC,D2596,1,paired,74252,0.436546,0.458293,5.93494,0.155197,142.0,0.0,74252,40.66,80206330,62986984,78.53,78.53,5.81255,0.622096,3410189557.0,80206330.0,0.468692,77.75581957831248,30.116372662024855
MEP_2596,MEP,D2596,1,paired,62887,0.281754,0.35937,4.23213,0.0894409,133.0,0.0,62887,22.9,38619452,27948880,72.37,72.37,3.49166,0.629667,1624588769.0,38619452.0,0.468951,79.19239345242272,35.089542194621735
