name,features_path,background_name,background_path,group
Bcell,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeBcell__modalityATAC_featureScores_annot.csv,,,cell_types
GMP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeGMP__modalityATAC_featureScores_annot.csv,,,cell_types
MEP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeMEP__modalityATAC_featureScores_annot.csv,,,cell_types
HSC,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeHSC__modalityATAC_featureScores_annot.csv,,,cell_types
CMP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeCMP__modalityATAC_featureScores_annot.csv,,,cell_types
Ery,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeEry__modalityATAC_featureScores_annot.csv,,,cell_types
MPP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeMPP__modalityATAC_featureScores_annot.csv,,,cell_types
CD4Tcell,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeCD4Tcell__modalityATAC_featureScores_annot.csv,,,cell_types
Mono,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeMono__modalityATAC_featureScores_annot.csv,,,cell_types
LMPP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeLMPP__modalityATAC_featureScores_annot.csv,,,cell_types
NKcell,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeNKcell__modalityATAC_featureScores_annot.csv,,,cell_types
CD8Tcell,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeCD8Tcell__modalityATAC_featureScores_annot.csv,,,cell_types
CLP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeCLP__modalityATAC_featureScores_annot.csv,,,cell_types
Bcell_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeBcell__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
GMP_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeGMP__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
MEP_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeMEP__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
HSC_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeHSC__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
CMP_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeCMP__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
Ery_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeEry__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
MPP_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeMPP__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
CD4Tcell_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeCD4Tcell__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
Mono_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeMono__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
LMPP_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeLMPP__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
NKcell_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeNKcell__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
CD8Tcell_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeCD8Tcell__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
CLP_EP,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeCLP__modalityATAC_up_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,epigenetic_potential
Bcell_TA,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeBcell__modalityATAC_down_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,transcriptional_abundance
GMP_TA,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeGMP__modalityATAC_down_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,transcriptional_abundance
MEP_TA,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeMEP__modalityATAC_down_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,transcriptional_abundance
HSC_TA,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeHSC__modalityATAC_down_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,transcriptional_abundance
CMP_TA,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeCMP__modalityATAC_down_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,transcriptional_abundance
Ery_TA,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/cell_typeEry__modalityATAC_down_features_annot.txt,ALL,results/CorcesINT/dea_limma/normupperquartile_integrated/feature_lists/ALL_features_annot.txt,transcriptional_abundance
