sample_name,cell_type,donor,modality,cell_type_modality
CMP_4983_ATAC,CMP,D4983,ATAC,CMP_ATAC
LMPP_6792_ATAC,LMPP,D6792,ATAC,LMPP_ATAC
CMP_6792_ATAC,CMP,D6792,ATAC,CMP_ATAC
MEP_6792_ATAC,MEP,D6792,ATAC,MEP_ATAC
HSC_4983_ATAC,HSC,D4983,ATAC,HSC_ATAC
CD4Tcell_1022_ATAC,CD4Tcell,D1022,ATAC,CD4Tcell_ATAC
MEP_4983_ATAC,MEP,D4983,ATAC,MEP_ATAC
HSC_6792_ATAC,HSC,D6792,ATAC,HSC_ATAC
CD8Tcell_1022_ATAC,CD8Tcell,D1022,ATAC,CD8Tcell_ATAC
GMP_6792_ATAC,GMP,D6792,ATAC,GMP_ATAC
CD4Tcell_2596_ATAC,CD4Tcell,D2596,ATAC,CD4Tcell_ATAC
Mono_6792_ATAC,Mono,D6792,ATAC,Mono_ATAC
CD8Tcell_2596_ATAC,CD8Tcell,D2596,ATAC,CD8Tcell_ATAC
CLP_2596_ATAC,CLP,D2596,ATAC,CLP_ATAC
MPP_4983_ATAC,MPP,D4983,ATAC,MPP_ATAC
CMP_2596_ATAC,CMP,D2596,ATAC,CMP_ATAC
Ery_2596_ATAC,Ery,D2596,ATAC,Ery_ATAC
GMP_2596_ATAC,GMP,D2596,ATAC,GMP_ATAC
LMPP_4983_ATAC,LMPP,D4983,ATAC,LMPP_ATAC
HSC_2596_ATAC,HSC,D2596,ATAC,HSC_ATAC
MEP_2596_ATAC,MEP,D2596,ATAC,MEP_ATAC
CD4Tcell_4983_ATAC,CD4Tcell,D4983,ATAC,CD4Tcell_ATAC
MPP_2596_ATAC,MPP,D2596,ATAC,MPP_ATAC
CD4Tcell_5483_ATAC,CD4Tcell,D5483,ATAC,CD4Tcell_ATAC
CD8Tcell_5483_ATAC,CD8Tcell,D5483,ATAC,CD8Tcell_ATAC
CD8Tcell_4983_ATAC,CD8Tcell,D4983,ATAC,CD8Tcell_ATAC
GMP_4983_ATAC,GMP,D4983,ATAC,GMP_ATAC
NKcell_4983_ATAC,NKcell,D4983,ATAC,NKcell_ATAC
Ery_5483_ATAC,Ery,D5483,ATAC,Ery_ATAC
NKcell_5483_ATAC,NKcell,D5483,ATAC,NKcell_ATAC
HSC_7256_ATAC,HSC,D7256,ATAC,HSC_ATAC
Ery_6926_ATAC,Ery,D6926,ATAC,Ery_ATAC
LMPP_7256_ATAC,LMPP,D7256,ATAC,LMPP_ATAC
GMP_7256_ATAC,GMP,D7256,ATAC,GMP_ATAC
Mono_4983_ATAC,Mono,D4983,ATAC,Mono_ATAC
MPP_7256_ATAC,MPP,D7256,ATAC,MPP_ATAC
CLP_6926_ATAC,CLP,D6926,ATAC,CLP_ATAC
CMP_7256_ATAC,CMP,D7256,ATAC,CMP_ATAC
MEP_7256_ATAC,MEP,D7256,ATAC,MEP_ATAC
MPP_6792_ATAC,MPP,D6792,ATAC,MPP_ATAC
Bcell_1022_ATAC,Bcell,D1022,ATAC,Bcell_ATAC
NKcell_2596_ATAC,NKcell,D2596,ATAC,NKcell_ATAC
Bcell_4983_ATAC,Bcell,D4983,ATAC,Bcell_ATAC
Bcell_5483_ATAC,Bcell,D5483,ATAC,Bcell_ATAC
