sample_name,donor,cell_type,read_count,base_count,library,rseqc_bam_stat-proper_pairs_percent,star-total_reads,star-mapped,star-mapped_percent,star-uniquely_mapped,star-uniquely_mapped_percent,star-multimapped,fastp-pct_duplication,fastp-after_filtering_q30_rate,fastp-after_filtering_q30_bases,fastp-filtering_result_passed_filter_reads,fastp-after_filtering_gc_content,fastp-pct_surviving,fastp-pct_adapter
Bcell_1022,D1022,Bcell,16443651,2499434952,RNA,63.22418520598624,15.44552,13.537004,87.64,12.340906,79.9,1.196098,27.2901,95.834,2244.32904,30.89104,43.5484,93.92999158155328,1.0930054402151932
Bcell_2596,D2596,Bcell,35474667,5392149384,RNA,88.16115821082866,33.414664,28.775854,86.11999999999999,27.870239,83.41,0.905615,29.6919,94.8908,4814.326973,66.829328,42.1762,94.19303076192372,0.4425214195809083
Bcell_5852,D5852,Bcell,61891904,4456217088,RNA,45.91680500768791,58.361453,42.154434,72.23,35.026025,60.02,7.128409,28.1454,87.8476,3691.006717,116.722906,44.4577,94.29577897619696,0.011054758
Bcell_7653,D7653,Bcell,36660429,2639550888,RNA,69.51581488899163,35.29169,28.228612,79.98,25.669049,72.73,2.559563,23.8612,89.5809,2276.007718,70.58337999999999,42.0849,96.26644030815898,0.054811143
CD4Tcell_1022,D1022,CD4Tcell,22804345,3466260440,RNA,66.00235916,21.518592,18.961713,88.12,17.406093,80.89,1.55562,24.01,95.8181,3129.143043,43.037184,43.5384,94.36180692758332,0.6835802563064188
CD4Tcell_2596,D2596,CD4Tcell,36215008,5504681216,RNA,85.36714821261697,34.317906,30.012566,87.45,28.831684,84.01,1.180882,26.4524,95.7267,4989.357574,68.635812,42.1769,94.76155852291956,0.3360706147020594
CD4Tcell_5852,D5852,CD4Tcell,65644118,4726376496,RNA,45.24338565850665,62.111499,47.402893,76.32,38.835901,62.53,8.566991999999999,23.5583,87.94619999999999,3932.634235,124.222998,44.5883,94.61852926411473,0.010471616
CD4Tcell_7653,D7653,CD4Tcell,25610992,1843991424,RNA,66.56947021043416,24.245344,19.47229,80.31,17.396987,71.75,2.075303,25.2904,89.50099999999999,1562.183038,48.490688,44.082,94.66772704470016,0.05808053
CD8Tcell_1022,D1022,CD8Tcell,18036702,2741578704,RNA,75.68632064248615,16.851437999999998,14.843963,88.09,13.98144,82.97,0.8625229999999999,24.4443,95.4015,2437.468064,33.702876,42.7351,93.42859908646273,1.077242392
CD8Tcell_2596,D2596,CD8Tcell,33528178,5096283056,RNA,85.37607205101028,31.820817,27.934294,87.78,26.873715,84.45,1.060579,26.7281,95.7726,4626.726592,63.641634,42.0244,94.90768332236844,0.5171799075989157
CD8Tcell_5852,D5852,CD8Tcell,60298297,4341477384,RNA,38.947564758932224,57.187968,41.90194,73.27000000000001,33.076331,57.84,8.825609,32.623200000000004,87.6837,3610.048437,114.375936,44.9886,94.84176310982711,0.009622162
CD8Tcell_7653,D7653,CD8Tcell,21805741,1570013352,RNA,68.03576868929763,20.901445,16.653555,79.67999999999999,14.907084,71.32,1.746471,27.9654,89.3127,1343.895147,41.80289,43.1355,95.85294533,0.056957477
CLP_2596,D2596,CLP,36061663,5481372776,RNA,85.78591871,34.232808,30.256431,88.38,29.163099,85.19,1.093332,24.595,95.7666,4978.762766,68.465616,41.8943,94.92853393921406,0.3655544116198967
CLP_5483,D5483,CLP,24277471,3690175592,RNA,73.30836607603196,22.455572,19.154302,85.3,17.977633,80.06,1.176669,24.8907,95.4124,3251.562319,44.911144,43.0726,92.4955157,0.5998071215902184
CLP_6926,D6926,CLP,21904864,3329539328,RNA,78.93654012174716,20.771724,18.337023,88.27,17.432617,83.92,0.904406,24.7333,95.9402,3023.132482,41.543448,42.8136,94.82699367592514,0.8801332891178872
CMP_5852,D5852,CMP,58521754,4213566288,RNA,44.560045049856335,55.005529,40.114523,72.93,32.589277,59.25,7.525246,26.9192,86.4661,3424.073563,110.011058,44.8154,93.99159327999637,0.009469983
CMP_6792,D6792,CMP,49519317,7355711797,RNA,69.78192468477954,45.952922,40.437694,88,37.487675,81.58,2.950019,20.7581,88.7992,6063.882549,91.905844,44.7654,92.79797215,0.1332833407213593
CMP_7256,D7256,CMP,18904881,2850923869,RNA,79.16809404272814,17.872753,15.460055,86.5,14.644002,81.93,0.8160529999999999,19.9959,92.7664,2499.284234,35.745506,42.9281,94.54041525043188,0.1446081570151116
CMP_7653,D7653,CMP,32085734,2310172848,RNA,68.37884268241584,30.082058,24.237241,80.57000000000001,21.521528,71.54,2.715713,25.1072,89.3974,1935.978029,60.164116,44.2839,93.75524337,0.06576443
Ery_2596,D2596,Ery,29607196,4500293792,RNA,72.45994765715913,27.626702,23.564252,85.3,22.153321,80.19,1.410931,33.5967,95.4681,4003.273263,55.253404,43.0701,93.31076809840418,0.5680004280040568
Ery_5483,D5483,Ery,15383079,2338228008,RNA,69.01913090229506,14.526672,12.823662,88.28,11.92714,82.11,0.8965219999999999,25.7933,95.8644,2112.87056,29.053344,43.6591,94.43279853142536,0.80548244
Ery_6926,D6926,Ery,17608107,2676432264,RNA,79.36826381321383,16.663259999999998,14.597891,87.6,13.93766,83.64,0.660231,28.1195,95.2884,2410.197831,33.326519999999995,43.3627,94.63402283959314,0.5796761684830743
GMP_5852,D5852,GMP,36852637,2653389864,RNA,46.87380056012607,34.767828,25.389935,73.03,20.999853,60.4,4.390082,26.1455,87.8229,2198.212975,69.535656,45.1183,94.34284988,0.013798198
GMP_6792,D6792,GMP,49328538,7331206342,RNA,78.89695275923032,46.052167,40.643205,88.26,38.479078,83.56,2.164127,22.0785,88.7328,6074.991857,92.104334,44.4809,93.35806181808996,0.1282888213715152
GMP_7256,D7256,GMP,62939555,9501273445,RNA,83.50064237941184,59.656765,50.989955,85.47000000000001,48.79412,81.79,2.195835,30.3379,94.3949,8496.532443,119.31353,43.7879,94.78421796912929,0.2576853299963751
GMP_7653,D7653,GMP,36559830,2632307760,RNA,73.57240430941516,34.571752,27.966438,80.89,25.140302,72.72,2.826136,26.7156,89.51400000000001,2227.864635,69.143504,44.2245,94.56212460506518,0.061124464
HSC_5852,D5852,HSC,51930751,3739014072,RNA,50.14557336,49.377266,36.846687,74.63,30.755499,62.29,6.091188,27.2458,87.75500000000001,3119.547746,98.754532,44.3483,95.08290376929077,0.009632058
HSC_6792,D6792,HSC,32677993,4860537950,RNA,60.96459239229453,30.201982,26.779589,88.67,24.269248,80.36,2.510341,14.6247,87.59209999999999,3935.824195,60.403964,44.6313,92.42300162069316,0.1109095041424361
